id,naics_code,industry_name,injury_rate,total_cases,data_source,year,created_at
4d57b5e8-3064-45db-9b3f-cee403dd0761,23,Construction,2.50,195300,BLS_Table_1_2023,2023,2025-12-27 18:47:11.613865+00
c8e61ddd-bac7-4bee-980d-6b24cf14c8a4,236,Construction of buildings,2.30,42100,BLS_Table_1_2023,2023,2025-12-27 18:47:11.824855+00
a1dbff38-8d7d-4700-af9c-1286f983a760,237,Heavy and civil engineering construction,2.10,28700,BLS_Table_1_2023,2023,2025-12-27 18:47:11.868308+00
77495bb2-242b-44b8-b236-de1971e3434a,238,Specialty trade contractors,2.70,124500,BLS_Table_1_2023,2023,2025-12-27 18:47:11.90839+00
9490018c-995b-4990-9d6c-c953698c09c1,2361,Residential building construction,2.40,31200,BLS_Table_1_2023,2023,2025-12-27 18:47:11.948454+00
ec8e4275-8558-49b7-85c6-4352a7260897,2362,Nonresidential building construction,2.10,10900,BLS_Table_1_2023,2023,2025-12-27 18:47:11.988502+00
5c6005fd-db33-4b3b-be86-8024c26ce501,2371,Utility system construction,2.80,16200,BLS_Table_1_2023,2023,2025-12-27 18:47:12.114347+00
66c0cad8-de7d-4f9c-9492-19441eeafc1d,2372,Land subdivision,1.90,1100,BLS_Table_1_2023,2023,2025-12-27 18:47:12.168489+00
b98eaf19-9301-4c54-aec0-434df20492a5,2373,"Highway, street, and bridge construction",2.20,8900,BLS_Table_1_2023,2023,2025-12-27 18:47:12.208433+00
911921b8-cd95-47cd-aca0-cd42a5e27502,2379,Other heavy and civil engineering construction,1.80,2500,BLS_Table_1_2023,2023,2025-12-27 18:47:12.268541+00
ce9f354a-14c1-4374-9253-a269d439d610,2381,"Foundation, structure, and building exterior contractors",3.10,41200,BLS_Table_1_2023,2023,2025-12-27 18:47:12.319017+00
893f0496-c8e8-4b3c-8847-4b26f7ed3ee1,23811,Poured concrete foundation and structure contractors,3.40,8900,BLS_Table_1_2023,2023,2025-12-27 18:47:12.378551+00
c297f6dd-c7d8-4552-bcb2-8f092ee5898b,23812,Structural steel and precast concrete contractors,4.20,7100,BLS_Table_1_2023,2023,2025-12-27 18:47:12.463391+00
00cb2a9b-ed81-4959-9e74-f5f6a014c54d,23813,Framing contractors,3.80,12400,BLS_Table_1_2023,2023,2025-12-27 18:47:12.548306+00
d28d8e9d-6420-4d10-97f4-e8ac224f6192,23814,Masonry contractors,2.90,6200,BLS_Table_1_2023,2023,2025-12-27 18:47:12.613882+00
4cdeddf4-2091-41bf-a2a8-72a35f672950,23815,Glass and glazing contractors,3.50,2800,BLS_Table_1_2023,2023,2025-12-27 18:47:12.74395+00
60e23443-8007-4f02-bcca-dbeac2dd9c68,23816,Roofing contractors,4.70,11200,BLS_Table_1_2023,2023,2025-12-27 18:47:12.788337+00
033221b9-26da-4571-b0ea-b63cc238b0ff,23817,Siding contractors,3.20,2100,BLS_Table_1_2023,2023,2025-12-27 18:47:12.828521+00
f2b46021-e762-41c7-8a26-fd7ed1c6ed8a,23819,"Other foundation, structure, and building exterior contractors",2.60,1400,BLS_Table_1_2023,2023,2025-12-27 18:47:12.868605+00
6619894d-bcd6-451f-a95f-b209493593bf,2382,Building equipment contractors,2.20,43100,BLS_Table_1_2023,2023,2025-12-27 18:47:12.948703+00
a6ca1e32-e420-4c99-b2eb-d35a1fe7d5c3,23821,Electrical contractors and other wiring installation contractors,2.10,19800,BLS_Table_1_2023,2023,2025-12-27 18:47:12.988928+00
e8c21db9-2686-41fa-b215-fcd8bad287bd,23822,"Plumbing, heating, and air-conditioning contractors",2.30,23300,BLS_Table_1_2023,2023,2025-12-27 18:47:13.028539+00
